sentence_index	text
78	At heart the movie is a deftly wrought suspense yarn whose richer shadings work as coloring rather than substance .
79	The appearance of Treebeard and Gollum 's expanded role will either have you loving what you 're seeing , or rolling your eyes .
80	I loved it !
81	Gollum 's ` performance ' is incredible !
83	If this movie were a book , it would be a page-turner , you ca n't wait to see what happens next .
84	Haneke challenges us to confront the reality of sexual aberration .
85	Absorbing and disturbing -- perhaps more disturbing than originally intended -- but a little clarity would have gone a long way .
86	It 's the best film of the year so far , the benchmark against which all other Best Picture contenders should be measured .
87	Painful to watch , but viewers willing to take a chance will be rewarded with two of the year 's most accomplished and riveting film performances .
88	This is a startling film that gives you a fascinating , albeit depressing view of Iranian rural life close to the Iraqi border .
89	A few artsy flourishes aside , Narc is as gritty as a movie gets these days .
90	While The Isle is both preposterous and thoroughly misogynistic , its vistas are incredibly beautiful to look at .
91	Together , Tok and O orchestrate a buoyant , darkly funny dance of death .
92	In the process , they demonstrate that there 's still a lot of life in Hong Kong cinema .
93	Director Kapur is a filmmaker with a real flair for epic landscapes and adventure , and this is a better film than his earlier English-language movie , the overpraised Elizabeth .
94	The movie is a blast of educational energy , as bouncy animation and catchy songs escort you through the entire 85 minutes .
95	A sports movie with action that 's exciting on the field and a story you care about off it .
96	Doug Liman , the director of Bourne , directs the traffic well , gets a nice wintry look from his locations , absorbs us with the movie 's spycraft and uses Damon 's ability to be focused and sincere .
97	The tenderness of the piece is still intact .
98	Katz uses archival footage , horrifying documents of lynchings , still photographs and charming old reel-to-reel recordings of Meeropol entertaining his children to create his song history , but most powerful of all is the song itself
99	Like the film 's almost anthropologically detailed realization of early - '80s suburbia , it 's significant without being overstated .
100	While McFarlane 's animation lifts the film firmly above the level of other coming-of-age films ... it 's also so jarring that it 's hard to get back into the boys ' story .
101	If nothing else , this movie introduces a promising , unusual kind of psychological horror .
102	In a normal screen process , these bromides would be barely enough to sustain an interstitial program on the Discovery Channel .
103	But in Imax 3-D , the clichÃ©s disappear into the vertiginous perspectives opened up by the photography .
104	Writer-director Burger imaginatively fans the embers of a dormant national grief and curiosity that has calcified into chronic cynicism and fear .
105	... a roller-coaster ride of a movie
106	I enjoyed Time of Favor while I was watching it , but I was surprised at how quickly it faded from my memory .
107	Chicago is sophisticated , brash , sardonic , completely joyful in its execution .
108	Steve Irwin 's method is Ernest Hemmingway at accelerated speed and volume .
109	A refreshing Korean film about five female high school friends who face an uphill battle when they try to take their relationships into deeper waters .
110	On the surface , it 's a lovers-on-the-run crime flick , but it has a lot in common with Piesiewicz 's and Kieslowski 's earlier work , films like The Double Life of Veronique .
111	The values that have held the Enterprise crew together through previous adventures and perils do so again-courage , self-sacrifice and patience under pressure .
112	If it 's possible for a sequel to outshine the original , then SL2 does just that .
113	A romantic comedy that operates by the rules of its own self-contained universe .
114	4 friends , 2 couples , 2000 miles , and all the Pabst Blue Ribbon beer they can drink - it 's the ultimate redneck road-trip .
115	The film is often filled with a sense of pure wonderment and excitement not often seen in today 's cinema du sarcasm
116	It might be tempting to regard Mr. Andrew and his collaborators as oddballs , but Mr. Earnhart 's quizzical , charming movie allows us to see them , finally , as artists .
117	A feel-good picture in the best sense of the term .
118	Edited and shot with a syncopated style mimicking the work of his subjects , Pray turns the idea of the documentary on its head , making it rousing , invigorating fun lacking any MTV puffery .
119	A mostly intelligent , engrossing and psychologically resonant suspenser .
120	It 's this memory-as-identity obviation that gives Secret Life its intermittent unease , reaffirming that long-held illusions are indeed reality , and that erasing them recasts the self .
121	Hip-hop has a history , and it 's a metaphor for this love story .
122	In scope , ambition and accomplishment , Children of the Century ... takes Kurys ' career to a whole new level .
123	This may not have the dramatic gut-wrenching impact of other Holocaust films , but it 's a compelling story , mainly because of the way it 's told by the people who were there .
124	Between the drama of Cube ?
125	s personal revelations regarding what the shop means in the big picture , iconic characters gambol fluidly through the story , with charming results .
126	A gentle , compassionate drama about grief and healing .
127	Somewhere short of Tremors on the modern B-scene : neither as funny nor as clever , though an agreeably unpretentious way to spend ninety minutes .
128	Digital-video documentary about stand-up comedians is a great glimpse into a very different world .
129	Unlike most teen flicks , Swimming takes its time to tell its story , casts mostly little-known performers in key roles , and introduces some intriguing ambiguity .
130	An enthralling , playful film that constantly frustrates our desire to know the ` truth ' about this man , while deconstructing the very format of the biography in a manner that Derrida would doubtless give his blessing to .
137	It 's obviously struck a responsive chord with many South Koreans , and should work its magic in other parts of the world .
138	Run , do n't walk , to see this barbed and bracing comedy on the big screen .
139	A classy item by a legend who may have nothing left to prove but still has the chops and drive to show how its done .
140	It is nature against progress .
141	In Fessenden 's horror trilogy , this theme has proved important to him and is especially so in the finale .
142	It 's not exactly a gourmet meal but the fare is fair , even coming from the drive-thru .
143	This is what IMAX was made for : Strap on a pair of 3-D goggles , shut out the real world , and take a vicarious voyage to the last frontier -- space .
144	Merely as a technical , logistical feat , Russian Ark marks a cinematic milestone .
145	-LRB- Schweiger is -RRB- talented and terribly charismatic , qualities essential to both movie stars and social anarchists .
146	It 's a great deal of sizzle and very little steak .
147	But what spectacular sizzle it is !
148	... In this incarnation its fizz is infectious .
149	An original gem about an obsession with time .
150	It will delight newcomers to the story and those who know it from bygone days .
151	Gloriously goofy -LRB- and gory -RRB- midnight movie stuff .
152	The film overcomes the regular minefield of coming-of-age cliches with potent doses of honesty and sensitivity .
153	If your senses have n't been dulled by slasher films and gorefests , if you 're a connoisseur of psychological horror , this is your ticket .
154	It 's a minor comedy that tries to balance sweetness with coarseness , while it paints a sad picture of the singles scene .
155	It is intensely personal and yet -- unlike Quills -- deftly shows us the temper of the times .
156	As lo-fi as the special effects are , the folks who cobbled Nemesis together indulge the force of humanity over hardware in a way that George Lucas has long forgotten .
157	Like Mike does n't win any points for originality .
158	It does succeed by following a feel-good formula with a winning style , and by offering its target audience of urban kids some welcome role models and optimism .
159	It 's a hoot and a half , and a great way for the American people to see what a candidate is like when he 's not giving the same 15-cent stump speech .
160	Far from perfect , but its heart is in the right place ... innocent and well-meaning .
161	A sad , superior human comedy played out on the back roads of life .
162	Waydowntown is by no means a perfect film , but its boasts a huge charm factor and smacks of originality .
163	Tim Allen is great in his role but never hogs the scenes from his fellow cast , as there are plenty of laughs and good lines for everyone in this comedy .
164	More a load of enjoyable , Conan-esque claptrap than the punishing , special-effects soul assaults the Mummy pictures represent .
165	Enormously likable , partly because it is aware of its own grasp of the absurd .
166	Here 's a British flick gleefully unconcerned with plausibility , yet just as determined to entertain you .
167	It 's an old story , but a lively script , sharp acting and partially animated interludes make Just a Kiss seem minty fresh .
168	Must be seen to be believed .
169	Ray Liotta and Jason Patric do some of their best work in their underwritten roles , but do n't be fooled : Nobody deserves any prizes here .
170	Everything that has to do with Yvan and Charlotte , and everything that has to do with Yvan 's rambunctious , Jewish sister and her non-Jew husband , feels funny and true .
171	The year 's happiest surprise , a movie that deals with a real subject in an always surprising way .
172	Fans of Behan 's work and of Irish movies in general will be rewarded by Borstal Boy .
173	Its mysteries are transparently obvious , and it 's too slowly paced to be a thriller .
174	-LRB- But it 's -RRB- worth recommending because of two marvelous performances by Michael Caine and Brendan Fraser .
175	The film is faithful to what one presumes are the book 's twin premises -- that we become who we are on the backs of our parents , but we have no idea who they were at our age ; and that time is a fleeting and precious commodity no matter how old you are .
176	Stephen Earnhart 's homespun documentary Mule Skinner Blues has nothing but love for its posse of trailer park denizens .
177	A solidly seaworthy chiller .
178	If you can get past the fantastical aspects and harsh realities of `` The Isle '' you 'll get a sock-you-in-the-eye flick that is a visual tour-de-force and a story that is unlike any you will likely see anywhere else .
179	There are as many misses as hits , but ultimately , it finds humor in the foibles of human behavior , and it 's a welcome return to the roots of a genre that should depend on surprises .
180	A well-made thriller with a certain level of intelligence and non-reactionary morality .
181	There 's enough science to make it count as educational , and enough beauty to make it unforgettable .
182	Remains a solid , if somewhat heavy-handed , account of the near-disaster ... done up by Howard with a steady , if not very imaginative , hand .
183	Makmalbaf follows a resolutely realistic path in this uncompromising insight into the harsh existence of the Kurdish refugees of Iran 's borderlands .
184	For a good chunk of its running time , Trapped is an effective and claustrophobic thriller .
185	Most of Crush is a clever and captivating romantic comedy with a welcome pinch of tartness .
186	Nair does capture the complexity of a big family and its trials and tribulations ...
187	The seaside splendor and shallow , beautiful people are nice to look at while you wait for the story to get going .
188	Rare is the ` urban comedy ' that even attempts the insight and honesty of this disarming indie .
189	Ranks among Willams ' best screen work .
190	Engagingly captures the maddening and magnetic ebb and flow of friendship .
191	An experience so engrossing it is like being buried in a new environment .
192	It 's traditional moviemaking all the way , but it 's done with a lot of careful period attention as well as some very welcome wit .
193	Maybe it 's just because this past year has seen the release of some of the worst film comedies in decades ... But honestly , Analyze That really is n't all that bad .
194	A droll , well-acted , character-driven comedy with unexpected deposits of feeling .
195	This is simply the most fun you 'll ever have with a documentary !
196	A very funny movie .
197	Watching Haneke 's film is , aptly enough , a challenge and a punishment .
198	But watching Huppert , a great actress tearing into a landmark role , is riveting .
199	A cop story that understands the medium amazingly well .
200	Britney has been delivered to the big screen safe and sound , the way we like our 20-year-old superstar girls to travel on the fame freeway .
201	Those outside show business will enjoy a close look at people they do n't really want to know .
202	The kind of nervous film that will either give you a mild headache or exhilarate you .
203	Watching Beanie and his gang put together his slasher video from spare parts and borrowed materials is as much fun as it must have been for them to make it .
204	Children may not understand everything that happens -- I 'm not sure even Miyazaki himself does -- but they will almost certainly be fascinated , and undoubtedly delighted .
205	A fascinating and fun film .
206	Tadpole is a sophisticated , funny and good-natured treat , slight but a pleasure .
207	This insightful , Oscar-nominated documentary , in which children on both sides of the ever-escalating conflict have their say away from watchful parental eyes , gives peace yet another chance .
208	I admired this work a lot .
209	Whether you 're moved and love it , or bored or frustrated by the film , you 'll still feel something .
210	... there are enough moments of heartbreaking honesty to keep one glued to the screen .
211	My goodness , Queen Latifah has a lot to offer and she seemed to have no problem flaunting her natural gifts .
212	She must have a very strong back .
213	A smart , sweet and playful romantic comedy .
215	Without heavy-handedness , Dong provides perspective with his intelligent grasp of human foibles and contradictions .
216	Solid , lump-in-the-throat family entertainment that derives its power by sticking to the facts .
217	As an entertainment , the movie keeps you diverted and best of all , it lightens your wallet without leaving a sting .
218	It is interesting and fun to see Goodall and her chimpanzees on the bigger-than-life screen .
219	It wo n't bust your gut -- and it 's not intended to -- it 's merely a blandly cinematic surgical examination of what makes a joke a joke .
220	A somewhat crudely constructed but gripping , questing look at a person so racked with self-loathing , he becomes an enemy to his own race .
221	It extends the writings of Jean Genet and John Rechy , the films of Fassbinder , perhaps even the nocturnal works of Goya .
222	Narc may not get an ` A ' for originality , but it wears its B-movie heritage like a badge of honor .
223	With the film 's striking ending , one realizes that we have a long way to go before we fully understand all the sexual permutations involved .
224	-LRB- Drumline -RRB- is entertaining for what it does , and admirable for what it does n't do .
225	At its best early on as it plays the culture clashes between the brothers .
226	An unabashedly schmaltzy and thoroughly enjoyable true story .
227	A thoughtful look at a painful incident that made headlines in 1995 .
229	Tsai Ming-liang has taken his trademark style and refined it to a crystalline point .
230	Purely propaganda , a work of unabashed hero worship , it is nonetheless -- and likely inadvertently -- a timely and invaluable implicit reminder of the role that U.S. foreign policy has played in the rise of Castro .
231	Now trimmed by about 20 minutes , this lavish three-year-old production has enough grandeur and scale to satisfy as grown-up escapism .
232	We get some truly unique character studies and a cross-section of Americana that Hollywood could n't possibly fictionalize and be believed .
233	Though this film can be clumsy , its ambitions are equally -- and admirably -- uncommercial .
234	Daring , mesmerizing and exceedingly hard to forget .
235	Moore 's performance impresses almost as much as her work with Haynes in 1995 's Safe .
236	Visits spy-movie territory like a novel you ca n't put down , examines a footnote to history seldom brought to light on the screen , and keeps you guessing from first frame to last .
237	An absorbing , slice-of-depression life that touches nerves and rings true .
238	Mr. Parker has brilliantly updated his source and grasped its essence , composing a sorrowful and hilarious tone poem about alienated labor , or an absurdist workplace sitcom .
239	The result is something quite fresh and delightful .
240	All but the most persnickety preteens should enjoy this nonthreatening but thrilling adventure .
241	Despite its many infuriating flaws -- not the least of which is Amy 's self-absorbed personality -- Amy 's O 's honesty will win you over .
242	This is one of Polanski 's best films .
243	Day is not a great Bond movie , but it is a good Bond movie , which still makes it much better than your typical Bond knock-offs .
244	Polished Korean political-action film is just as good -- and bad -- as Hollywood action epics .
245	Is this progress ?
246	Elling , portrayed with quiet fastidiousness by Per Christian Ellefsen , is a truly singular character , one whose frailties are only slightly magnified versions of the ones that vex nearly everyone .
247	Denis and co-writer Michele Petin 's impeccable screenplay penetrates with a rawness that that is both unflinching and tantalizing .
248	Lead provocatuers Testud and Parmentier give superlative performances
249	An absorbing trip into the minds and motivations of people under stress as well as a keen , unsentimental look at variations on the theme of motherhood .
250	I admired it , particularly that unexpected downer of an ending .
251	The passions aroused by the discord between old and new cultures are set against the strange , stark beauty of the Mideast desert , so lovingly and perceptively filmed that you can almost taste the desiccated air .
252	Remarkably accessible and affecting .
253	Never mind whether you buy the stuff about Barris being a CIA hit man .
254	The kooky yet shadowy vision Clooney sustains throughout is daring , inventive and impressive .
255	A triumph of art direction over narrative , but what art direction !
256	Behan himself knew how to spin a tale and one ca n't help but think he 'd appreciate this attempt to turn his life into art .
257	JirÃ­ Hubac 's script is a gem .
258	His characters are engaging , intimate and the dialogue is realistic and greatly moving .
259	The scope of the Silberstein family is large and we grow attached to their lives , full of strength , warmth and vitality . .
260	Moore 's complex and important film is also , believe it or not , immensely entertaining , a David and Goliath story that 's still very much playing itself out .
261	The additional storyline is interesting and entertaining , but it does n't have the same magical quality as the beginning of the story .
262	I like the new footage and still love the old stuff .
263	Though Mama takes a bit too long to find its rhythm and a third-act plot development is somewhat melodramatic , its ribald humor and touching nostalgia are sure to please anyone in search of a Jules and Jim for the new millennium .
264	You might not buy the ideas .
265	But you 'll definitely want the T-shirt .
266	Provides an intriguing window into the imagination and hermetic analysis of Todd Solondz .
267	Windtalkers is shapelessly gratifying , the kind of movie that invites you to pick apart its faults even as you have to admit that somehow it hit you where you live .
268	Presents an astute appraisal of Middle American musical torpor and the desperate struggle to escape it .
269	Just what makes us happy , anyway ?
270	A thoughtful , moving piece that faces difficult issues with honesty and beauty .
271	One of the greatest romantic comedies of the past decade .
272	You would n't call The Good Girl a date movie -LRB- an anti-date movie is more like it -RRB- , but when it 's good , it 's good and horrid .
273	Benefits from a strong performance from Zhao , but it 's Dong Jie 's face you remember at the end .
274	This is a film brimming with detail and nuance and one that speaks volumes about the ability of the human spirit to find solace in events that could easily crush it forever .
275	The director , Steven Shainberg , has succeeded by focusing intently on his characters , making them quirky individuals rather than figures of fun .
276	It ultimately stands forth as an important chronicle of the abuses of one of Latin America 's most oppressive regimes .
277	The movie has a soft , percolating magic , a deadpan suspense .
278	A well-made and often lovely depiction of the mysteries of friendship .
279	Using his audience as a figurative port-of-call , Dong pulls his even-handed ideological ship to their dock for unloading , before he continues his longer journey still ahead .
280	... understands that a generation defines its music as much as the music defines a generation .
281	The Transporter is as lively and as fun as it is unapologetically dumb
282	As a witness to several Greek-American weddings -- but , happily , a victim of none -- I can testify to the comparative accuracy of Ms. Vardalos ' memories and insights .
283	Has it ever been possible to say that Williams has truly inhabited a character ?
284	It is now .
285	By presenting an impossible romance in an impossible world , Pumpkin dares us to say why either is impossible -- which forces us to confront what 's possible and what we might do to make it so .
286	An impressive debut for first-time writer-director Mark Romanek , especially considering his background is in music video .
287	An incendiary , deeply thought-provoking look at one of the most peculiar -LRB- and peculiarly venomous -RRB- bigotries in our increasingly frightening theocracy
288	All the performances are top notch and , once you get through the accents , All or Nothing becomes an emotional , though still positive , wrench of a sit .
289	`` its successes are also tempered with elements which prove the direct antithesis of what it gets right . ''
290	It 's solid and affecting and exactly as thought-provoking as it should be .
291	This is such a dazzlingly self-assured directorial debut that it 's hard to know what to praise first .
292	Parker holds true to Wilde 's own vision of a pure comedy with absolutely no meaning , and no desire to be anything but a polished , sophisticated entertainment that is in love with its own cleverness .
293	MÃ¼nch 's genuine insight makes the film 's occasional overindulgence forgivable .
294	Thankfully , the film , which skirts that rapidly deteriorating line between fantasy and reality ... takes a tongue-in-cheek attitude even as it pushes the Croc Hunter agenda .
295	Ultimately , the message of Trouble Every Day seems to be that all sexual desire disrupts life 's stasis .
296	If you 're like me , a sucker for a good old fashion romance and someone who shamelessly loves to eat , then Mostly Martha offers all the perfect ingredients to more than satisfy your appetite .
297	The film has just enough of everything -- re-enactments , archival footage , talking-head interviews -- and the music is simply sublime .
298	There are a few stabs at absurdist comedy ... but mostly the humor is of the sweet , gentle and occasionally cloying kind that has become an Iranian specialty .
299	A wonderful character-based comedy .
300	It would be interesting to hear from the other side , but in Talk to Her , the women are down for the count .
301	An endearingly offbeat romantic comedy with a great meet-cute gimmick .
302	The unique tug-of-war with viewer expectations is undeniable , if not a pleasure in its own right .
303	It uses an old-time formula , it 's not terribly original and it 's rather messy -- but you just have to love the big , dumb , happy movie My Big Fat Greek Wedding .
304	It 's almost impossible not to be moved by the movie 's depiction of sacrifice and its stirring epilogue in post-Soviet Russia .
305	Who knows what exactly Godard is on about in this film , but his words and images do n't have to add up to mesmerize you .
306	The tone is balanced , reflective and reasonable .
307	The principals in this cast are all fine , but Bishop and Stevenson are standouts .
308	It could change America , not only because it is full of necessary discussion points , but because it is so accessible that it makes complex politics understandable to viewers looking for nothing but energetic entertainment .
309	What 's most striking about this largely celebratory film ... is the sense of isolation that permeates these bastions of individuality in an Ikea world .
310	... if you 're in a mind set for goofy comedy , the troopers will entertain with their gross outs , bawdy comedy and head games .
311	Somewhat blurred , but Kinnear 's performance is razor sharp .
312	As a director , Mr. Ratliff wisely rejects the temptation to make fun of his subjects .
313	For anyone who remembers the '60s or is interested in one man 's response to stroke , Ram Dass : Fierce Grace is worth seeking out .
314	Intriguing and beautiful film , but those of you who read the book are likely to be disappointed .
315	The New Guy does have a heart .
316	Now , if it only had a brain .
317	A savvy exploration of paranoia and insecurity in America 's culture of fear .
318	Legendary Irish writer Brendan Behan 's memoir , Borstal Boy , has been given a loving screen transferral .
319	The film 's greatest asset is how much it 's not just another connect-the-dots , spy-on-the-run picture .
320	This clever caper movie has twists worthy of David Mamet and is enormous fun for thinking audiences .
321	It 's one of the saddest films I have ever seen that still manages to be uplifting but not overly sentimental .
322	Morton is , as usual , brilliant .
323	Even with all those rough edges safely sanded down , the American Insomnia is still pretty darned good .
324	I do n't know precisely what to make of Steven Soderbergh 's Full Frontal , though that did n't stop me from enjoying much of it .
325	The tug of war that ensues is as much a snapshot of modern China in microcosm as it is a crash course in movie mythology .
326	Nearly surreal , dabbling in French , this is no simple movie , and you 'll be taking a risk if you choose to see it .
327	I enjoyed the ride -LRB- bumps and all -RRB- , creamy depth , and ultimate theme .
328	You could say that it 's slow at times , you could say that a few of the characters act in ways that real people would n't , but one thing you could n't say is that Alias Betty is predictable .
329	Asia authors herself as Anna Battista , an Italian superstar and aspiring directress who just happens to be her own worst enemy .
330	Roman Coppola may never become the filmmaker his Dad was , but heck -- few filmmakers will .
331	But based on CQ , I 'll certainly be keeping an eye out for his next project .
332	An amusing , breezily apolitical documentary about life on the campaign trail .
333	High on melodrama .
334	But it 's emotionally engrossing , too , thanks to strong , credible performances from the whole cast .
335	Finally , a genre movie that delivers -- in a couple of genres , no less .
336	It 's not so much enjoyable to watch as it is enlightening to listen to new sides of a previous reality , and to visit with some of the people who were able to make an impact in the theater world .
337	Spielberg is the rare director who does not want to invite viewers to gawk at or applaud his special effects .
338	He just wants them to be part of the action , the wallpaper of his chosen reality .
339	Here , thankfully , they are .
341	Hu and Liu offer natural , matter-of-fact performances that glint with sorrow , longing and love .
342	This bold and lyrical first feature from Raja Amari expands the pat notion that middle-aged women just wanna have fun into a rousing treatise of sensual empowerment .
343	Easier to respect than enthuse over , Andersson 's rigorous personal vision is not only distanced but distancing .
344	Girls gone wild and gone civil again
345	... Tunney is allowed to build an uncommonly human character , an almost real-live girl complete with trouble and hope .
346	While this film is not in the least surprising , it is still ultimately very satisfying .
347	Think of it as a sort of comfort food for the mind .
348	Clever , brutal and strangely soulful movie .
349	... always remains movingly genuine .
350	An intelligent fiction about learning through cultural clash .
351	Will grab your children by the imagination and amaze them and amuse them .
352	A remarkable 179-minute meditation on the nature of revolution .
353	Those who would follow Haneke on his creepy explorations ... are rewarded by brutal , committed performances from Huppert and Magimel .
354	An involving true story of a Chinese actor who takes up drugs and winds up in an institution -- acted mostly by the actual people involved .
355	Hands down the year 's most thought-provoking film .
356	But it pays a price for its intricate intellectual gamesmanship .
357	It 's a terrific American sports movie and Dennis Quaid is its athletic heart .
358	This is such a high-energy movie where the drumming and the marching are so excellent , who cares if the story 's a little weak .
359	Compelling revenge thriller , though somewhat weakened by a miscast leading lady .
360	It 's amazingly perceptive in its subtle , supportive but unsentimental look at the Marks family .
361	A whole lot foul , freaky and funny .
362	Attal mixes comedy with a serious exploration of ego and jealousy within a seemingly serene marriage .
363	The diversity of the artists represented , both in terms of style and ethnicity , prevents the proceedings from feeling repetitious , as does the appropriately brief 40-minute running time .
364	The Pianist is a fine valedictory work for Polanski , made richer by his own experiences , making his other movies somehow richer in the bargain .
365	Foster nails the role , giving a tight , focused performance illuminated by shards of feeling .
366	Even if you ca n't pronounce `` gyro '' correctly , you 'll appreciate much of Vardalos ' humor , which transcends ethnic boundaries .
367	Is office work really as alienating as ` Bartleby ' so effectively makes it ?
368	Farrell ... thankfully manages to outshine the role and successfully plays the foil to Willis 's world-weary colonel .
369	Audiences conditioned to getting weepy over saucer-eyed , downy-cheeked moppets and their empathetic caretakers will probably feel emotionally cheated by the film 's tart , sugar-free wit .
370	Bennett 's dramatization of her personal descent into post-breakup perdition has a morbid appeal that 's tough to shake .
371	An intriguing and entertaining introduction to Johnson .
372	As expected , Sayles ' smart wordplay and clever plot contrivances are as sharp as ever , though they may be overshadowed by some strong performances .
373	A model of what films like this should be like .
374	As Weber and Weissman demonstrate with such insight and celebratory verve , the Cockettes were n't as much about gender , sexual preference or political agitprop as they were simply a triumph of the indomitable human will to rebel , connect and create .
375	Yeah , these flicks are just that damn good .
376	Is n't it great ?
377	An unbelievably fun film just a leading man away from perfection .
378	Over-the-top and a bit ostentatious , this is a movie that 's got oodles of style and substance .
379	... a poignant and powerful narrative that reveals that reading writing and arithmetic are not the only subjects to learn in life .
380	Nicely serves as an examination of a society in transition .
381	A tender and touching drama , based on the true story of a troubled African-American 's quest to come to terms with his origins , reveals the yearning we all have in our hearts for acceptance within the family circle .
382	As a randy film about sexy people in gorgeous places being pushed and pulled -LRB- literally and figuratively -RRB- by desire ... -LRB- Sex and LucÃ­a -RRB- makes for an arousing good time .
384	Celebrated at Sundance , this slight comedy of manners has winning performances and a glossy , glib charm that 's hard to beat .
385	Renner 's performance as Dahmer is unforgettable , deeply absorbing .
386	If no one singles out any of these performances as award-worthy , it 's only because we would expect nothing less from this bunch .
